split,phase,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
actuation_bias_shift,early,corm_no_safety,88,0.193182,0.082960,0.135778,0.016429,0.284091,0.094766,0.142920,0.029644,0.218341,0.178966,0.000000,0.102122
actuation_bias_shift,early,corm_no_uncertainty,88,0.193182,0.082960,0.142450,0.017329,0.238636,0.089570,0.135713,0.028024,0.535000,0.180407,0.022727,0.094458
actuation_bias_shift,early,corm_repair_memory_v5,88,0.193182,0.082960,0.135716,0.016396,0.272727,0.093586,0.139413,0.028838,0.222145,0.178762,0.011364,0.099769
actuation_bias_shift,early,global_average_repair,88,0.193182,0.082960,0.134851,0.016390,0.295455,0.095873,0.145481,0.030477,0.204601,0.149555,0.000000,0.107381
actuation_bias_shift,early,knn_repair_memory_v4,88,0.181818,0.081048,0.136957,0.015871,0.295455,0.095873,0.147567,0.030722,0.148651,0.198356,0.000000,0.107851
actuation_bias_shift,early,last_repair_memory,88,0.147727,0.074562,0.142898,0.015262,0.306818,0.096908,0.157009,0.029764,0.050505,0.168182,0.000000,0.113655
actuation_bias_shift,early,online_ridge_residual,88,0.181818,0.081048,0.136187,0.015448,0.284091,0.094766,0.143433,0.029281,0.535000,0.181609,0.000000,0.095981
actuation_bias_shift,late,corm_no_safety,80,0.187500,0.086071,0.139353,0.017716,0.275000,0.098464,0.149996,0.030532,0.582964,0.110901,0.000000,0.091865
actuation_bias_shift,late,corm_no_uncertainty,80,0.287500,0.099805,0.156995,0.024164,0.150000,0.078740,0.129675,0.027185,0.920000,0.108763,0.087500,0.073498
actuation_bias_shift,late,corm_repair_memory_v5,80,0.200000,0.088207,0.156515,0.022525,0.162500,0.081351,0.133249,0.027542,0.593234,0.112728,0.025000,0.088939
actuation_bias_shift,late,global_average_repair,80,0.150000,0.078740,0.144836,0.018125,0.287500,0.099805,0.158911,0.030470,0.524541,0.178693,0.000000,0.123905
actuation_bias_shift,late,knn_repair_memory_v4,80,0.262500,0.097026,0.133909,0.017561,0.250000,0.095487,0.136981,0.029544,0.603591,0.175712,0.000000,0.092196
actuation_bias_shift,late,last_repair_memory,80,0.075000,0.058082,0.158050,0.017017,0.300000,0.101054,0.175761,0.030295,0.055556,0.160000,0.000000,0.145893
actuation_bias_shift,late,online_ridge_residual,80,0.237500,0.093841,0.139869,0.019038,0.287500,0.099805,0.153826,0.032848,0.920000,0.115191,0.000000,0.084477
actuation_bias_shift,middle,corm_no_safety,88,0.136364,0.072113,0.132798,0.014072,0.329545,0.098773,0.149801,0.028563,0.512536,0.120370,0.000000,0.087386
actuation_bias_shift,middle,corm_no_uncertainty,88,0.147727,0.074562,0.157219,0.019283,0.250000,0.090991,0.150179,0.029434,0.920000,0.118500,0.034091,0.075786
actuation_bias_shift,middle,corm_repair_memory_v5,88,0.136364,0.072113,0.143645,0.016791,0.261364,0.092328,0.140247,0.028165,0.522630,0.119593,0.011364,0.086859
actuation_bias_shift,middle,global_average_repair,88,0.125000,0.069495,0.143472,0.016450,0.363636,0.101084,0.171090,0.030580,0.519661,0.168055,0.000000,0.114260
actuation_bias_shift,middle,knn_repair_memory_v4,88,0.125000,0.069495,0.141228,0.015372,0.318182,0.097874,0.155126,0.029282,0.515925,0.182379,0.000000,0.104056
actuation_bias_shift,middle,last_repair_memory,88,0.102273,0.063672,0.157672,0.020616,0.340909,0.099607,0.178669,0.034789,0.055556,0.160000,0.000000,0.134241
actuation_bias_shift,middle,online_ridge_residual,88,0.181818,0.081048,0.135547,0.017864,0.306818,0.096908,0.145719,0.029008,0.920000,0.121190,0.000000,0.086427
combined_shift,early,corm_limited_memory,88,0.068182,0.052966,0.188643,0.017849,0.488636,0.105040,0.222607,0.028685,0.215350,0.192017,0.011364,0.160017
combined_shift,early,corm_no_context,88,0.068182,0.052966,0.184013,0.017390,0.500000,0.105067,0.221340,0.028889,0.210668,0.197702,0.011364,0.157091
combined_shift,early,corm_no_safety,176,0.068182,0.037345,0.189357,0.012554,0.488636,0.074062,0.223291,0.020259,0.215077,0.192222,0.000000,0.160782
combined_shift,early,corm_no_uncertainty,176,0.056818,0.034299,0.202483,0.015309,0.375000,0.071729,0.202397,0.019841,0.535000,0.197059,0.056818,0.144317
combined_shift,early,corm_repair_memory_v5,176,0.068182,0.037345,0.188643,0.012585,0.488636,0.074062,0.222607,0.020226,0.215350,0.192017,0.011364,0.160017
combined_shift,early,global_average_repair,176,0.045455,0.030862,0.194754,0.012964,0.511364,0.074062,0.235726,0.020886,0.165752,0.207703,0.000000,0.181279
combined_shift,early,knn_repair_memory_v4,176,0.056818,0.034299,0.194042,0.012332,0.500000,0.074081,0.231433,0.020340,0.131976,0.236497,0.000000,0.178050
combined_shift,early,last_repair_memory,176,0.045455,0.030862,0.202048,0.012583,0.500000,0.074081,0.239787,0.020289,0.050505,0.168182,0.000000,0.190594
combined_shift,early,online_ridge_residual,88,0.056818,0.048645,0.185746,0.019955,0.454545,0.104632,0.209362,0.030430,0.535000,0.196865,0.000000,0.149892
combined_shift,late,corm_limited_memory,80,0.025000,0.034428,0.197464,0.019497,0.362500,0.106008,0.201744,0.027960,0.447189,0.141738,0.050000,0.132799
combined_shift,late,corm_no_context,80,0.037500,0.041895,0.202271,0.023926,0.350000,0.105180,0.203174,0.028743,0.525339,0.136846,0.050000,0.123637
combined_shift,late,corm_no_safety,160,0.100000,0.046631,0.168144,0.013265,0.425000,0.076840,0.191405,0.022101,0.509695,0.129783,0.000000,0.124795
combined_shift,late,corm_no_uncertainty,160,0.050000,0.033877,0.212084,0.018553,0.212500,0.063586,0.170842,0.017958,0.920000,0.128572,0.125000,0.089828
combined_shift,late,corm_repair_memory_v5,160,0.075000,0.040941,0.199831,0.016328,0.325000,0.072803,0.193039,0.020074,0.512379,0.128669,0.050000,0.124828
combined_shift,late,global_average_repair,160,0.062500,0.037626,0.192130,0.013700,0.450000,0.077329,0.222930,0.022269,0.449804,0.228472,0.000000,0.164071
combined_shift,late,knn_repair_memory_v4,160,0.062500,0.037626,0.180455,0.013055,0.425000,0.076840,0.203972,0.021788,0.536690,0.226035,0.000000,0.140881
combined_shift,late,last_repair_memory,160,0.050000,0.033877,0.191740,0.012795,0.475000,0.077622,0.229640,0.022970,0.055556,0.160000,0.000000,0.169906
combined_shift,late,online_ridge_residual,80,0.087500,0.062311,0.175761,0.020623,0.375000,0.106757,0.183797,0.028986,0.920000,0.138749,0.000000,0.099650
combined_shift,middle,corm_limited_memory,88,0.090909,0.060409,0.184832,0.018309,0.363636,0.101084,0.200229,0.028895,0.449954,0.137608,0.022727,0.127487
combined_shift,middle,corm_no_context,88,0.068182,0.052966,0.195948,0.020946,0.363636,0.101084,0.211523,0.029347,0.477113,0.148217,0.034091,0.128546
combined_shift,middle,corm_no_safety,176,0.125000,0.049000,0.161351,0.012612,0.465909,0.073909,0.207245,0.021778,0.477988,0.138161,0.000000,0.125314
combined_shift,middle,corm_no_uncertainty,176,0.090909,0.042594,0.203903,0.018900,0.272727,0.065986,0.191952,0.021666,0.920000,0.136674,0.113636,0.097379
combined_shift,middle,corm_repair_memory_v5,176,0.090909,0.042594,0.194990,0.014665,0.340909,0.070231,0.203475,0.020183,0.464078,0.136181,0.022727,0.119277
combined_shift,middle,global_average_repair,176,0.056818,0.034299,0.186820,0.012595,0.431818,0.073389,0.223256,0.022728,0.439182,0.223309,0.000000,0.163655
combined_shift,middle,knn_repair_memory_v4,176,0.079545,0.040091,0.177459,0.012637,0.397727,0.072515,0.203577,0.022264,0.466024,0.231801,0.000000,0.142840
combined_shift,middle,last_repair_memory,176,0.045455,0.030862,0.193223,0.013144,0.454545,0.073774,0.236038,0.023098,0.055556,0.160000,0.000000,0.176485
combined_shift,middle,online_ridge_residual,88,0.125000,0.069495,0.165804,0.020772,0.454545,0.104632,0.208559,0.032230,0.920000,0.144786,0.000000,0.118116
heavy_object_shift,early,corm_no_safety,88,0.215909,0.086460,0.121607,0.013285,0.318182,0.097874,0.147727,0.030634,0.232562,0.178523,0.000000,0.090172
heavy_object_shift,early,corm_no_uncertainty,88,0.306818,0.096908,0.129382,0.018968,0.204545,0.084762,0.121172,0.028097,0.535000,0.179926,0.011364,0.076174
heavy_object_shift,early,corm_repair_memory_v5,88,0.215909,0.086460,0.126400,0.014218,0.318182,0.097874,0.152549,0.031358,0.233847,0.177565,0.000000,0.090193
heavy_object_shift,early,global_average_repair,88,0.227273,0.088061,0.120258,0.012983,0.295455,0.095873,0.139618,0.029718,0.201071,0.154426,0.000000,0.095946
heavy_object_shift,early,knn_repair_memory_v4,88,0.215909,0.086460,0.120267,0.013133,0.306818,0.096908,0.143189,0.029574,0.147145,0.201141,0.000000,0.092517
heavy_object_shift,early,last_repair_memory,88,0.204545,0.084762,0.125143,0.013227,0.306818,0.096908,0.147886,0.029922,0.050505,0.168182,0.000000,0.101332
heavy_object_shift,early,online_ridge_residual,88,0.318182,0.097874,0.116664,0.015800,0.261364,0.092328,0.125590,0.029624,0.535000,0.180740,0.000000,0.077716
heavy_object_shift,late,corm_no_safety,80,0.187500,0.086071,0.127017,0.014991,0.387500,0.107431,0.162069,0.033188,0.603745,0.100747,0.000000,0.069239
heavy_object_shift,late,corm_no_uncertainty,80,0.087500,0.062311,0.163398,0.021283,0.225000,0.092084,0.149565,0.026087,0.920000,0.100446,0.037500,0.052166
heavy_object_shift,late,corm_repair_memory_v5,80,0.187500,0.086071,0.146883,0.020719,0.287500,0.099805,0.151604,0.030243,0.630548,0.098771,0.037500,0.062256
heavy_object_shift,late,global_average_repair,80,0.137500,0.075940,0.123157,0.013490,0.450000,0.109706,0.177522,0.032425,0.545400,0.163761,0.000000,0.093164
heavy_object_shift,late,knn_repair_memory_v4,80,0.125000,0.072929,0.128638,0.012738,0.387500,0.107431,0.164374,0.033367,0.611254,0.167041,0.000000,0.074646
heavy_object_shift,late,last_repair_memory,80,0.087500,0.062311,0.129893,0.012549,0.437500,0.109394,0.180279,0.031706,0.055556,0.160000,0.000000,0.104952
heavy_object_shift,late,online_ridge_residual,80,0.137500,0.075940,0.139672,0.019244,0.387500,0.107431,0.174790,0.033208,0.920000,0.101619,0.000000,0.067729
heavy_object_shift,middle,corm_no_safety,88,0.318182,0.097874,0.106538,0.013133,0.340909,0.099607,0.137489,0.031744,0.534318,0.111675,0.000000,0.069929
heavy_object_shift,middle,corm_no_uncertainty,88,0.250000,0.090991,0.133888,0.020054,0.215909,0.086460,0.127376,0.027527,0.920000,0.111123,0.034091,0.058520
heavy_object_shift,middle,corm_repair_memory_v5,88,0.306818,0.096908,0.113993,0.016375,0.261364,0.092328,0.121042,0.027693,0.556973,0.108166,0.011364,0.062209
heavy_object_shift,middle,global_average_repair,88,0.284091,0.094766,0.113267,0.013296,0.340909,0.099607,0.144475,0.031181,0.526741,0.161858,0.000000,0.094621
heavy_object_shift,middle,knn_repair_memory_v4,88,0.284091,0.094766,0.114217,0.013105,0.352273,0.100376,0.148786,0.031834,0.525547,0.172652,0.000000,0.080828
heavy_object_shift,middle,last_repair_memory,88,0.261364,0.092328,0.125645,0.013869,0.352273,0.100376,0.160225,0.032386,0.055556,0.160000,0.000000,0.103781
heavy_object_shift,middle,online_ridge_residual,88,0.261364,0.092328,0.112945,0.013660,0.306818,0.096908,0.133784,0.029992,0.920000,0.112195,0.000000,0.062745
high_friction_shift,early,corm_no_safety,88,0.090909,0.060409,0.163710,0.014120,0.352273,0.100376,0.183685,0.032856,0.212995,0.199064,0.000000,0.130658
high_friction_shift,early,corm_no_uncertainty,88,0.090909,0.060409,0.170221,0.015687,0.261364,0.092328,0.163148,0.029046,0.535000,0.201000,0.022727,0.126595
high_friction_shift,early,corm_repair_memory_v5,88,0.090909,0.060409,0.164480,0.014082,0.352273,0.100376,0.184410,0.032940,0.213059,0.199022,0.000000,0.130506
high_friction_shift,early,global_average_repair,88,0.102273,0.063672,0.164338,0.014329,0.340909,0.099607,0.180947,0.032590,0.185083,0.176722,0.000000,0.135368
high_friction_shift,early,knn_repair_memory_v4,88,0.113636,0.066690,0.164137,0.014392,0.352273,0.100376,0.184152,0.032749,0.136804,0.220131,0.000000,0.134572
high_friction_shift,early,last_repair_memory,88,0.113636,0.066690,0.166721,0.014217,0.306818,0.096908,0.173083,0.032368,0.050505,0.168182,0.000000,0.137920
high_friction_shift,early,online_ridge_residual,88,0.102273,0.063672,0.161573,0.014912,0.295455,0.095873,0.164757,0.029527,0.535000,0.202883,0.000000,0.129686
high_friction_shift,late,corm_no_safety,80,0.212500,0.090208,0.130183,0.014059,0.162500,0.081351,0.101942,0.026655,0.586932,0.128357,0.000000,0.086749
high_friction_shift,late,corm_no_uncertainty,80,0.100000,0.066155,0.160238,0.016263,0.150000,0.078740,0.128400,0.026453,0.920000,0.125630,0.000000,0.077495
high_friction_shift,late,corm_repair_memory_v5,80,0.200000,0.088207,0.139029,0.016161,0.125000,0.072929,0.099573,0.025330,0.587527,0.127903,0.000000,0.084867
high_friction_shift,late,global_average_repair,80,0.162500,0.081351,0.139820,0.013421,0.212500,0.090208,0.125695,0.028877,0.504524,0.189350,0.000000,0.110217
high_friction_shift,late,knn_repair_memory_v4,80,0.225000,0.092084,0.133335,0.013057,0.162500,0.081351,0.104748,0.028283,0.586453,0.184531,0.000000,0.089034
high_friction_shift,late,last_repair_memory,80,0.087500,0.062311,0.158222,0.013816,0.262500,0.097026,0.159492,0.032489,0.055556,0.160000,0.000000,0.134231
high_friction_shift,late,online_ridge_residual,80,0.112500,0.069679,0.145557,0.014634,0.187500,0.086071,0.124964,0.028207,0.920000,0.141180,0.000000,0.084771
high_friction_shift,middle,corm_no_safety,88,0.159091,0.076859,0.138135,0.015781,0.295455,0.095873,0.148360,0.031766,0.494814,0.140502,0.000000,0.093874
high_friction_shift,middle,corm_no_uncertainty,88,0.125000,0.069495,0.164959,0.018951,0.193182,0.082960,0.144605,0.026346,0.920000,0.138638,0.022727,0.089870
high_friction_shift,middle,corm_repair_memory_v5,88,0.159091,0.076859,0.140693,0.017116,0.272727,0.093586,0.144201,0.030840,0.493042,0.141640,0.011364,0.095255
high_friction_shift,middle,global_average_repair,88,0.079545,0.056860,0.146520,0.012427,0.329545,0.098773,0.167043,0.031376,0.481614,0.191669,0.000000,0.121389
high_friction_shift,middle,knn_repair_memory_v4,88,0.147727,0.074562,0.138073,0.011993,0.284091,0.094766,0.144905,0.032034,0.500127,0.199799,0.000000,0.098841
high_friction_shift,middle,last_repair_memory,88,0.068182,0.052966,0.159228,0.012721,0.329545,0.098773,0.179723,0.033422,0.055556,0.160000,0.000000,0.137726
high_friction_shift,middle,online_ridge_residual,88,0.113636,0.066690,0.156833,0.018897,0.306818,0.096908,0.170824,0.031641,0.920000,0.149040,0.000000,0.112871
light_object_shift,early,corm_no_safety,88,0.113636,0.066690,0.149613,0.014849,0.272727,0.093586,0.146846,0.026282,0.225727,0.185964,0.000000,0.113044
light_object_shift,early,corm_no_uncertainty,88,0.136364,0.072113,0.145710,0.015921,0.261364,0.092328,0.138913,0.028851,0.535000,0.186794,0.034091,0.098030
light_object_shift,early,corm_repair_memory_v5,88,0.113636,0.066690,0.149613,0.014849,0.272727,0.093586,0.146846,0.026282,0.225727,0.185964,0.000000,0.113044
light_object_shift,early,global_average_repair,88,0.090909,0.060409,0.156905,0.015530,0.306818,0.096908,0.164570,0.028123,0.194036,0.167949,0.000000,0.122627
light_object_shift,early,knn_repair_memory_v4,88,0.068182,0.052966,0.158309,0.015248,0.306818,0.096908,0.165839,0.026767,0.141073,0.214183,0.000000,0.127905
light_object_shift,early,last_repair_memory,88,0.045455,0.043771,0.172728,0.015369,0.329545,0.098773,0.187436,0.028435,0.050505,0.168182,0.000000,0.139052
light_object_shift,early,online_ridge_residual,88,0.159091,0.076859,0.139540,0.015850,0.284091,0.094766,0.139620,0.029198,0.535000,0.188745,0.000000,0.094655
light_object_shift,late,corm_no_safety,80,0.187500,0.086071,0.125608,0.014898,0.287500,0.099805,0.130740,0.027398,0.595669,0.113300,0.000000,0.077792
light_object_shift,late,corm_no_uncertainty,80,0.262500,0.097026,0.136374,0.019996,0.162500,0.081351,0.103289,0.023653,0.920000,0.103220,0.075000,0.055784
