phase,split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95
early,actuation_bias_shift,embodied_repair_memory,40,0.2250,0.1311,0.1080,0.0185,0.2750,0.1401,0.0826,0.0390
early,actuation_bias_shift,global_average_repair,40,0.1500,0.1121,0.1212,0.0226,0.3750,0.1519,0.1269,0.0503
early,actuation_bias_shift,last_repair_memory,40,0.1750,0.1193,0.1270,0.0243,0.3250,0.1470,0.1176,0.0491
early,actuation_bias_shift,nominal_mpc,40,0.2250,0.1311,0.1080,0.0185,0.2750,0.1401,0.0826,0.0390
early,actuation_bias_shift,oracle_hidden_deployment,40,0.4000,0.1538,0.1078,0.0221,0.0000,0.0000,0.0000,0.0000
early,actuation_bias_shift,random_candidate,40,0.0750,0.0827,0.1890,0.0308,0.5750,0.1552,0.2547,0.0542
early,actuation_bias_shift,robust_worst_case_mpc,40,0.2250,0.1311,0.1088,0.0199,0.2500,0.1359,0.0758,0.0343
early,combined_shift,embodied_repair_memory,40,0.1500,0.1121,0.1707,0.0287,0.4750,0.1567,0.1472,0.0391
early,combined_shift,global_average_repair,40,0.1250,0.1038,0.1706,0.0273,0.5750,0.1552,0.1779,0.0478
early,combined_shift,last_repair_memory,40,0.0750,0.0827,0.1811,0.0280,0.6500,0.1497,0.2110,0.0437
early,combined_shift,nominal_mpc,40,0.1500,0.1121,0.1702,0.0285,0.4750,0.1567,0.1466,0.0392
early,combined_shift,oracle_hidden_deployment,40,0.2000,0.1255,0.1579,0.0262,0.0250,0.0490,0.0000,0.0000
early,combined_shift,random_candidate,40,0.0000,0.0000,0.2334,0.0393,0.4750,0.1567,0.2112,0.0501
early,combined_shift,robust_worst_case_mpc,40,0.1500,0.1121,0.1704,0.0292,0.4500,0.1561,0.1393,0.0389
early,heavy_object_shift,embodied_repair_memory,40,0.2000,0.1255,0.1300,0.0225,0.1250,0.1038,0.0528,0.0240
early,heavy_object_shift,global_average_repair,40,0.2000,0.1255,0.1261,0.0218,0.1500,0.1121,0.0566,0.0235
early,heavy_object_shift,last_repair_memory,40,0.2000,0.1255,0.1302,0.0246,0.1500,0.1121,0.0607,0.0305
early,heavy_object_shift,nominal_mpc,40,0.2000,0.1255,0.1300,0.0225,0.1250,0.1038,0.0528,0.0240
early,heavy_object_shift,oracle_hidden_deployment,40,0.3500,0.1497,0.1146,0.0248,0.0000,0.0000,0.0000,0.0000
early,heavy_object_shift,random_candidate,40,0.0000,0.0000,0.1969,0.0360,0.5750,0.1552,0.2567,0.0384
early,heavy_object_shift,robust_worst_case_mpc,40,0.2000,0.1255,0.1321,0.0232,0.1250,0.1038,0.0550,0.0244
early,high_friction_shift,embodied_repair_memory,40,0.2250,0.1311,0.1117,0.0178,0.2500,0.1359,0.0878,0.0368
early,high_friction_shift,global_average_repair,40,0.2250,0.1311,0.1139,0.0196,0.3250,0.1470,0.1127,0.0438
early,high_friction_shift,last_repair_memory,40,0.2250,0.1311,0.1218,0.0256,0.3250,0.1470,0.1207,0.0445
early,high_friction_shift,nominal_mpc,40,0.2250,0.1311,0.1111,0.0178,0.2500,0.1359,0.0872,0.0369
early,high_friction_shift,oracle_hidden_deployment,40,0.4000,0.1538,0.0987,0.0165,0.0000,0.0000,0.0000,0.0000
early,high_friction_shift,random_candidate,40,0.0250,0.0490,0.1853,0.0302,0.6250,0.1519,0.2754,0.0500
early,high_friction_shift,robust_worst_case_mpc,40,0.2500,0.1359,0.1103,0.0183,0.2250,0.1311,0.0789,0.0337
early,low_friction_shift,embodied_repair_memory,40,0.0750,0.0827,0.1406,0.0158,0.1250,0.1038,0.0359,0.0206
early,low_friction_shift,global_average_repair,40,0.0750,0.0827,0.1430,0.0174,0.1750,0.1193,0.0535,0.0331
early,low_friction_shift,last_repair_memory,40,0.0500,0.0684,0.1402,0.0150,0.2000,0.1255,0.0580,0.0301
early,low_friction_shift,nominal_mpc,40,0.0750,0.0827,0.1406,0.0158,0.1250,0.1038,0.0359,0.0206
early,low_friction_shift,oracle_hidden_deployment,40,0.1750,0.1193,0.1347,0.0191,0.0250,0.0490,0.0000,0.0000
early,low_friction_shift,random_candidate,40,0.0250,0.0490,0.2352,0.0422,0.5000,0.1569,0.2447,0.0509
early,low_friction_shift,robust_worst_case_mpc,40,0.0250,0.0490,0.1508,0.0161,0.1000,0.0942,0.0386,0.0208
early,nominal,embodied_repair_memory,40,0.2750,0.1401,0.1131,0.0218,0.2500,0.1359,0.0652,0.0325
early,nominal,global_average_repair,40,0.2750,0.1401,0.1097,0.0206,0.2750,0.1401,0.0694,0.0327
early,nominal,last_repair_memory,40,0.2250,0.1311,0.1069,0.0199,0.3500,0.1497,0.0890,0.0367
early,nominal,nominal_mpc,40,0.2750,0.1401,0.1131,0.0218,0.2500,0.1359,0.0652,0.0325
early,nominal,oracle_hidden_deployment,40,0.4000,0.1538,0.1228,0.0266,0.0000,0.0000,0.0000,0.0000
early,nominal,random_candidate,40,0.1000,0.0942,0.2285,0.0383,0.3750,0.1519,0.2195,0.0576
early,nominal,robust_worst_case_mpc,40,0.2750,0.1401,0.1218,0.0221,0.1750,0.1193,0.0514,0.0278
middle,actuation_bias_shift,embodied_repair_memory,40,0.2000,0.1255,0.1131,0.0177,0.2250,0.1311,0.0693,0.0338
middle,actuation_bias_shift,global_average_repair,40,0.2500,0.1359,0.0986,0.0185,0.2500,0.1359,0.0631,0.0316
middle,actuation_bias_shift,last_repair_memory,40,0.2250,0.1311,0.1065,0.0172,0.2250,0.1311,0.0629,0.0314
middle,actuation_bias_shift,nominal_mpc,40,0.1750,0.1193,0.1044,0.0154,0.3000,0.1438,0.0831,0.0352
middle,actuation_bias_shift,oracle_hidden_deployment,40,0.2750,0.1401,0.1037,0.0169,0.0250,0.0490,0.0000,0.0000
middle,actuation_bias_shift,random_candidate,40,0.0250,0.0490,0.1770,0.0290,0.5750,0.1552,0.2395,0.0536
middle,actuation_bias_shift,robust_worst_case_mpc,40,0.1750,0.1193,0.1080,0.0179,0.2500,0.1359,0.0717,0.0306
middle,combined_shift,embodied_repair_memory,40,0.1500,0.1121,0.1642,0.0328,0.3750,0.1519,0.1221,0.0401
middle,combined_shift,global_average_repair,40,0.1250,0.1038,0.1486,0.0264,0.5250,0.1567,0.1518,0.0458
middle,combined_shift,last_repair_memory,40,0.1250,0.1038,0.1716,0.0285,0.5000,0.1569,0.1679,0.0511
middle,combined_shift,nominal_mpc,40,0.1500,0.1121,0.1603,0.0277,0.4750,0.1567,0.1481,0.0469
middle,combined_shift,oracle_hidden_deployment,40,0.3250,0.1470,0.1317,0.0291,0.0750,0.0827,0.0000,0.0000
middle,combined_shift,random_candidate,40,0.1000,0.0942,0.2355,0.0400,0.5000,0.1569,0.2319,0.0451
middle,combined_shift,robust_worst_case_mpc,40,0.1750,0.1193,0.1574,0.0272,0.5000,0.1569,0.1527,0.0467
middle,heavy_object_shift,embodied_repair_memory,40,0.2000,0.1255,0.1136,0.0195,0.2500,0.1359,0.1002,0.0394
middle,heavy_object_shift,global_average_repair,40,0.2000,0.1255,0.1097,0.0191,0.2750,0.1401,0.1038,0.0401
middle,heavy_object_shift,last_repair_memory,40,0.2000,0.1255,0.1056,0.0171,0.3500,0.1497,0.1224,0.0416
middle,heavy_object_shift,nominal_mpc,40,0.2000,0.1255,0.1092,0.0191,0.2500,0.1359,0.0958,0.0383
middle,heavy_object_shift,oracle_hidden_deployment,40,0.5000,0.1569,0.0884,0.0187,0.0000,0.0000,0.0000,0.0000
middle,heavy_object_shift,random_candidate,40,0.0250,0.0490,0.1922,0.0352,0.5250,0.1567,0.2623,0.0459
middle,heavy_object_shift,robust_worst_case_mpc,40,0.3000,0.1438,0.1128,0.0188,0.1000,0.0942,0.0544,0.0288
middle,high_friction_shift,embodied_repair_memory,40,0.1250,0.1038,0.1343,0.0170,0.2500,0.1359,0.0955,0.0336
middle,high_friction_shift,global_average_repair,40,0.1750,0.1193,0.1346,0.0242,0.3250,0.1470,0.1186,0.0435
middle,high_friction_shift,last_repair_memory,40,0.1000,0.0942,0.1621,0.0289,0.4750,0.1567,0.1915,0.0538
middle,high_friction_shift,nominal_mpc,40,0.1250,0.1038,0.1280,0.0170,0.2750,0.1401,0.0968,0.0353
middle,high_friction_shift,oracle_hidden_deployment,40,0.3000,0.1438,0.1137,0.0193,0.0000,0.0000,0.0000,0.0000
middle,high_friction_shift,random_candidate,40,0.0750,0.0827,0.2150,0.0381,0.5500,0.1561,0.2675,0.0497
middle,high_friction_shift,robust_worst_case_mpc,40,0.1500,0.1121,0.1274,0.0186,0.2000,0.1255,0.0737,0.0305
middle,low_friction_shift,embodied_repair_memory,40,0.0750,0.0827,0.1588,0.0183,0.2500,0.1359,0.0786,0.0338
middle,low_friction_shift,global_average_repair,40,0.0750,0.0827,0.1530,0.0183,0.3000,0.1438,0.0879,0.0355
middle,low_friction_shift,last_repair_memory,40,0.0750,0.0827,0.1524,0.0195,0.4750,0.1567,0.1399,0.0436
middle,low_friction_shift,nominal_mpc,40,0.0750,0.0827,0.1529,0.0163,0.3000,0.1438,0.0877,0.0359
middle,low_friction_shift,oracle_hidden_deployment,40,0.1500,0.1121,0.1552,0.0223,0.0000,0.0000,0.0000,0.0000
middle,low_friction_shift,random_candidate,40,0.0250,0.0490,0.2347,0.0353,0.5250,0.1567,0.2387,0.0438
middle,low_friction_shift,robust_worst_case_mpc,40,0.0750,0.0827,0.1562,0.0160,0.2250,0.1311,0.0685,0.0320
middle,nominal,embodied_repair_memory,40,0.2000,0.1255,0.1040,0.0147,0.2000,0.1255,0.0614,0.0339
middle,nominal,global_average_repair,40,0.2500,0.1359,0.0980,0.0146,0.1750,0.1193,0.0479,0.0303
middle,nominal,last_repair_memory,40,0.1750,0.1193,0.1008,0.0138,0.2500,0.1359,0.0733,0.0362
middle,nominal,nominal_mpc,40,0.2250,0.1311,0.0997,0.0147,0.2000,0.1255,0.0571,0.0338
middle,nominal,oracle_hidden_deployment,40,0.3500,0.1497,0.1026,0.0165,0.0000,0.0000,0.0000,0.0000
middle,nominal,random_candidate,40,0.0000,0.0000,0.2357,0.0366,0.5750,0.1552,0.3070,0.0619
middle,nominal,robust_worst_case_mpc,40,0.2500,0.1359,0.1106,0.0155,0.1250,0.1038,0.0455,0.0289
late,actuation_bias_shift,embodied_repair_memory,40,0.2250,0.1311,0.1131,0.0214,0.1250,0.1038,0.0687,0.0280
late,actuation_bias_shift,global_average_repair,40,0.2500,0.1359,0.1107,0.0259,0.2500,0.1359,0.1043,0.0495
late,actuation_bias_shift,last_repair_memory,40,0.2250,0.1311,0.1056,0.0210,0.3000,0.1438,0.1141,0.0437
late,actuation_bias_shift,nominal_mpc,40,0.3250,0.1470,0.0919,0.0183,0.1750,0.1193,0.0625,0.0315
late,actuation_bias_shift,oracle_hidden_deployment,40,0.5750,0.1552,0.0817,0.0173,0.0000,0.0000,0.0000,0.0000
late,actuation_bias_shift,random_candidate,40,0.0750,0.0827,0.1846,0.0327,0.4750,0.1567,0.2464,0.0555
late,actuation_bias_shift,robust_worst_case_mpc,40,0.3000,0.1438,0.0995,0.0199,0.1500,0.1121,0.0626,0.0296
late,combined_shift,embodied_repair_memory,40,0.0500,0.0684,0.1932,0.0314,0.4250,0.1552,0.1340,0.0333
late,combined_shift,global_average_repair,40,0.2000,0.1255,0.1656,0.0314,0.5500,0.1561,0.1443,0.0435
late,combined_shift,last_repair_memory,40,0.1250,0.1038,0.1835,0.0361,0.4750,0.1567,0.1401,0.0436
late,combined_shift,nominal_mpc,40,0.1750,0.1193,0.1620,0.0285,0.6000,0.1538,0.1553,0.0434
late,combined_shift,oracle_hidden_deployment,40,0.2500,0.1359,0.1563,0.0312,0.1000,0.0942,0.0000,0.0000
late,combined_shift,random_candidate,40,0.0250,0.0490,0.2303,0.0441,0.6500,0.1497,0.2405,0.0483
late,combined_shift,robust_worst_case_mpc,40,0.1250,0.1038,0.1603,0.0265,0.5250,0.1567,0.1310,0.0399
late,heavy_object_shift,embodied_repair_memory,40,0.1250,0.1038,0.1186,0.0163,0.2750,0.1401,0.0936,0.0310
late,heavy_object_shift,global_average_repair,40,0.1750,0.1193,0.1076,0.0172,0.3500,0.1497,0.1051,0.0375
late,heavy_object_shift,last_repair_memory,40,0.1750,0.1193,0.1061,0.0163,0.3250,0.1470,0.0964,0.0340
late,heavy_object_shift,nominal_mpc,40,0.1750,0.1193,0.1088,0.0162,0.3500,0.1497,0.1062,0.0377
late,heavy_object_shift,oracle_hidden_deployment,40,0.3750,0.1519,0.1075,0.0216,0.0000,0.0000,0.0000,0.0000
late,heavy_object_shift,random_candidate,40,0.0250,0.0490,0.1884,0.0300,0.5000,0.1569,0.2324,0.0419
late,heavy_object_shift,robust_worst_case_mpc,40,0.1000,0.0942,0.1181,0.0158,0.2500,0.1359,0.0855,0.0326
late,high_friction_shift,embodied_repair_memory,40,0.0750,0.0827,0.1472,0.0162,0.1750,0.1193,0.1086,0.0314
late,high_friction_shift,global_average_repair,40,0.2750,0.1401,0.1168,0.0215,0.3000,0.1438,0.1156,0.0432
late,high_friction_shift,last_repair_memory,40,0.1750,0.1193,0.1330,0.0207,0.4000,0.1538,0.1622,0.0484
late,high_friction_shift,nominal_mpc,40,0.2500,0.1359,0.1138,0.0193,0.3250,0.1470,0.1202,0.0399
late,high_friction_shift,oracle_hidden_deployment,40,0.4500,0.1561,0.0910,0.0147,0.0000,0.0000,0.0000,0.0000
late,high_friction_shift,random_candidate,40,0.0000,0.0000,0.2067,0.0315,0.6000,0.1538,0.2973,0.0468
late,high_friction_shift,robust_worst_case_mpc,40,0.2250,0.1311,0.1210,0.0210,0.2750,0.1401,0.1123,0.0377
late,low_friction_shift,embodied_repair_memory,40,0.0250,0.0490,0.1488,0.0176,0.3500,0.1497,0.1028,0.0360
late,low_friction_shift,global_average_repair,40,0.0250,0.0490,0.1485,0.0159,0.3250,0.1470,0.0950,0.0357
late,low_friction_shift,last_repair_memory,40,0.0250,0.0490,0.1609,0.0192,0.3750,0.1519,0.1225,0.0443
late,low_friction_shift,nominal_mpc,40,0.0250,0.0490,0.1473,0.0167,0.3750,0.1519,0.1089,0.0378
late,low_friction_shift,oracle_hidden_deployment,40,0.1500,0.1121,0.1510,0.0206,0.0000,0.0000,0.0000,0.0000
late,low_friction_shift,random_candidate,40,0.0000,0.0000,0.2537,0.0347,0.6250,0.1519,0.2917,0.0485
late,low_friction_shift,robust_worst_case_mpc,40,0.0750,0.0827,0.1476,0.0163,0.2750,0.1401,0.0791,0.0336
late,nominal,embodied_repair_memory,40,0.2000,0.1255,0.1168,0.0183,0.2500,0.1359,0.0659,0.0307
late,nominal,global_average_repair,40,0.2250,0.1311,0.1101,0.0171,0.2500,0.1359,0.0592,0.0308
late,nominal,last_repair_memory,40,0.2000,0.1255,0.1116,0.0175,0.2750,0.1401,0.0683,0.0325
late,nominal,nominal_mpc,40,0.2250,0.1311,0.1101,0.0171,0.2500,0.1359,0.0592,0.0308
late,nominal,oracle_hidden_deployment,40,0.2250,0.1311,0.1259,0.0189,0.0000,0.0000,0.0000,0.0000
late,nominal,random_candidate,40,0.0250,0.0490,0.2033,0.0311,0.6750,0.1470,0.2815,0.0579
late,nominal,robust_worst_case_mpc,40,0.2000,0.1255,0.1175,0.0185,0.1750,0.1193,0.0441,0.0259
